3883
同都,徒𨑒屠瘏塗途酴駼𤙛鵌涂梌㭸荼圖啚𤺈䣝菟捈䣄䅷嵞峹𣘻鍍䤅蒤䖘鷵筡,31,6,22,1
乃都,奴㚢砮駑帑孥笯胬,7,7,22,1
荒烏,呼嘑虖𧦝歑戲謼膴幠葫恗軤虍苸雐䰧滹烀,17,34,22,1
五乎,吾鼯𪁙𧋋吳浯䓊㹳㻍珸蜈郚齬鯃娪鋘梧峿麌𦨳祦吴,21,32,22,1
則吾,租蒩,2,13,22,1
落胡,盧鑪壚籚蘆顱髗鱸攎櫨轤黸獹鸕艫纑瀘瓐爐玈𢐸㢚𤮧嚧矑㿖㭔䰕𧇄𧆨罏蠦㪭𦿊嚕擼,34,8,22,1
素姑,蘇穌㢝酥甦囌,4,16,22,1
昨胡,徂䢐殂𣨐,4,15,22,1
哀都,烏嗚洿汚杇圬釫鰞歍鎢㢪於瑦鄔盓螐惡扝𦶀㮧鴮污,21,33,22,1
博孤,逋餔𥂈晡庯陠鵏𧻷峬誧秿鯆抪鈽,13,0,22,1
苦胡,枯刳扝郀軲㱠跍挎㢪橭鮬骷,11,30,22,1
倉胡,麤麁𧆓𥼡觕𤿚,6,14,22,1
他胡,㻌稌悇嶀㻯𡸂庩䞮梌㻬捈䩣,12,5,22,1
當孤,都𥳉闍𦘴𧷿醏䩲嘟,7,4,22,1
普胡,𥠵鋪鯆𩹲𨁏痡誧豧陠墲䮒𢼹噗,12,1,22,1
徂奚,齊臍麡蠐𪗍懠䶒癠𨥳,9,15,38,1
郎奚,黎犁𤛿莉黧藜鯬𦃇盠邌𨛫廲蔾筣驪瓈𥌛𩧋㦒謧𨿯,21,8,38,1
七稽,妻萋淒凄悽鶈郪緀齌霋,10,14,38,1
都奚,低氐袛磾鞮腣羝眡隄堤岻䧑奃趆𡰖鍉柢䐎䚣𥿄揥㓳䬫,23,4,38,1
杜奚,嗁啼㖒蹏蹄𥶛提詆瑅隄桋題媞𧡨綈罤𣹲𣖅締蕛稊𦯔䬾醍褆鵜荑禔䱱崹緹鷤鼶騠折䨑銕䱱䖙𥉘䬫䚣𢔭謕𡰄厗𪂿鶙𡰖蝭𨪉鴺㡗銻鮷趧𧋘鮧鯷䐎鶗,60,6,38,1
邊兮,豍㡙螕㯅𦱔蓖𦀘篦梐𥏠𨻼狴箄鎞悂䚜,16,0,38,1
古奚,雞鷄稽枅笄㮷䗗卟𥝌𨪴乩,10,29,38,1
胡雞,奚豯徯㜎蹊螇榽騱胿𡗞郋𪓷傒嵇兮鼷蒵貕,18,35,38,1
烏奚,鷖翳𧫦嫛黳𦎣㙠䃜黟繄䚷𣕁,12,33,38,1
五稽,倪蜺霓郳齯婗輗棿猊麑貎鯢兒䘽𠆵觬𣕁㪒,18,32,38,1
呼雞,醯䒊𦫬㡗橀忚,6,34,38,1
先稽,西卤𠧧棲栖㽄犀嘶撕㾷𤺊㯕屖𧬊粞𠞂樨恓硒舾,16,16,38,1
土雞,梯睇鷈𠥸䖙㔸𨁃謕𩤽,9,5,38,1
部迷,鼙鞞椑膍崥㼰笓,7,2,38,1
匹迷,磇𨻼𠜱𪄆錍批鈚砒砒,7,1,38,1
祖稽,齎賷𩐒齏𧅱𨥳櫅䂑擠齌躋隮麡𢥎啙虀,15,13,38,1
莫兮,迷𡝠䤍麛𧠠𪓬醚,6,3,38,1
奴低,泥埿屔臡坭鈮伲,4,7,38,1
苦奚,谿嵠溪磎鸂檕螇𤳤,8,30,38,1
古攜,圭珪邽閨袿窐鮭𪊧洼𨾴𡌲胿𦓯㰪茥,15,29,39,1
苦圭,睽奎湀刲𠝥茥䯓聧鮭䖯蝰㨒楏藈𡐠暌喹,15,30,39,1
戸圭,攜携蠵鑴窐𩰳畦驨雟酅𢥘𦋅𣫴𡸔纗讗㔒䙵黊𡰢眭觿䀘𪈥巂,23,35,39,1
人兮,臡,1,28,40,1
成臡,栘,1,25,40,1
烏攜,烓𧟼𤮰,3,33,39,1
呼攜,睳,1,34,39,1
古膎,佳街,2,29,30,1
戸佳,㥟鮭膎鞵鞋㨙䙎榽慀,8,35,30,1
薄佳,牌䱝𥱼郫蠯棑犤,7,2,30,1
古娃,媧緺𧬭腡蝸騧歄,7,29,31,1
烏媧,蛙鼃,2,33,31,1
苦緺,咼喎絓䓙𦹬䦱,6,30,31,1
士佳,柴祡𪗶茈㧘㾹𨌅査,8,20,30,1
楚佳,釵靫𩑐叉芆䐤㼮差𠞊,9,19,30,1
火媧,竵𦶎𡁑𩝨歪,4,34,31,1
妳佳,䍲掜誽,3,12,30,1
五佳,崖涯啀𪘲猚厓𩂢捱,7,32,30,1
於佳,娃洼哇㰪𠴺,5,33,30,1
山佳,崽籭諰篩,3,21,30,1
火佳,㗨㰨,2,34,30,1
丑佳,扠,1,10,30,1
莫佳,䁲𩍃,2,3,30,1
戸媧,鼃,1,35,31,1
古諧,皆偕䕸稭喈階𦝨薢荄痎堦楷鶛湝街𤭧𩘅蝔鍇,19,29,32,1
乙諧,𢰇,1,33,32,1
戸皆,諧𩤠骸瑎湝龤蝔鞋䓳偕,9,35,32,1
步皆,排俳輫牌猈𩑢,6,2,32,1
古懷,乖𦮃𠦬㾩𦫳,4,29,33,1
戸乖,懷褱櫰槐㜳𪊉㠢𤜄淮褢𧞷瀤,12,35,33,1
苦淮,匯㨤㔞,3,30,33,1
士皆,豺儕麡𡺵,4,20,32,1
楚皆,差䞗,2,19,32,1
呼懷,虺,1,34,33,1
柱懷,尵𩓬,2,11,33,1
莫皆,埋薶霾㦟,4,3,32,1
側皆,齋,1,18,32,1
乙皆,崴碨䴜溾瀤𪊉洼,4,33,33,1
卓皆,𪘨榸,2,9,32,1
賴諧,唻,1,8,32,1
